model,profession,true_gender,p_he,p_she,male_pronoun_share,logprob_original_avg,logprob_swapped_avg,swap_shift,swap_shift_abs
base_gemma,professor,1,0.090332,0.054688,0.6229,-4.2903,-4.2903,0.0,0.0
base_gemma,professor,0,2.1e-05,0.0,0.9998,-2.5289,-2.6281,0.0992,0.0992
base_gemma,professor,0,0.000181,0.0,0.9999,-2.3281,-2.3438,0.0156,0.0156
base_gemma,professor,0,0.953125,1.8e-05,1.0,-2.1449,-2.2174,0.0725,0.0725
base_gemma,professor,1,1.4e-05,1e-06,0.9433,-2.8913,-2.8913,0.0,0.0
base_gemma,professor,0,2.7e-05,0.0,1.0,-2.1395,-2.1395,0.0,0.0
base_gemma,professor,1,0.000219,0.044678,0.0049,-2.7642,-3.0407,0.2764,0.2764
base_gemma,professor,1,0.0,8e-06,0.0159,-2.04,-2.0,-0.04,0.04
base_gemma,professor,0,0.000151,0.0,0.9988,-2.6125,-2.7125,0.1,0.1
base_gemma,professor,0,0.0177,0.007385,0.7056,-3.475,-3.5,0.025,0.025
base_gemma,composer,0,1.3e-05,0.0,0.9998,-2.3803,-2.4648,0.0845,0.0845
base_gemma,composer,1,0.001846,0.000874,0.6788,-5.16,-5.32,0.16,0.16
base_gemma,composer,0,0.001358,0.0,1.0,-2.9881,-3.0357,0.0476,0.0476
base_gemma,composer,0,0.578125,5.9e-05,0.9999,-4.1474,-4.1474,0.0,0.0
base_gemma,composer,0,0.417969,0.001602,0.9962,-3.1833,-3.2,0.0167,0.0167
base_gemma,composer,0,0.251953,0.112305,0.6917,-4.5676,-4.5676,0.0,0.0
base_gemma,composer,0,0.165039,2.8e-05,0.9998,-4.2817,-4.3099,0.0282,0.0282
base_gemma,composer,0,0.00103,1e-06,0.9995,-3.2295,-3.3115,0.082,0.082
base_gemma,composer,0,6e-06,0.0,0.9498,-2.6825,-2.746,0.0635,0.0635
base_gemma,composer,0,0.648438,7.1e-05,0.9999,-3.6154,-3.6154,0.0,0.0
base_gemma,comedian,1,3e-06,0.011475,0.0002,-2.58,-2.53,-0.05,0.05
base_gemma,comedian,1,0.007416,0.488281,0.015,-3.6923,-3.6044,-0.0879,0.0879
base_gemma,comedian,0,0.05957,0.000515,0.9914,-3.8906,-4.0312,0.1406,0.1406
base_gemma,comedian,0,0.002869,0.000992,0.7431,-2.6125,-2.7625,0.15,0.15
base_gemma,comedian,1,0.0,4e-06,0.002,-3.38,-3.38,0.0,0.0
base_gemma,comedian,0,0.125977,7e-05,0.9994,-3.4833,-3.5667,0.0833,0.0833
base_gemma,comedian,0,0.000142,0.0,0.9999,-2.413,-2.4891,0.0761,0.0761
base_gemma,comedian,0,0.087891,0.019653,0.8173,-1.7677,-1.7778,0.0101,0.0101
base_gemma,comedian,0,5e-06,0.0,0.9992,-3.52,-3.54,0.02,0.02
base_gemma,comedian,0,0.000131,0.0,0.9989,-3.5345,-3.7069,0.1724,0.1724
base_gemma,architect,0,9.7e-05,0.0,1.0,-3.1333,-3.1667,0.0333,0.0333
base_gemma,architect,1,2.2e-05,0.062256,0.0004,-3.44,-3.4,-0.04,0.04
base_gemma,architect,0,9.8e-05,0.0,0.9999,-2.6269,-2.6716,0.0448,0.0448
base_gemma,architect,1,2.6e-05,8e-06,0.7552,-3.463,-3.463,0.0,0.0
base_gemma,architect,0,0.957031,0.000195,0.9998,-3.0105,-3.1579,0.1474,0.1474
base_gemma,architect,1,0.470703,0.470703,0.5,-2.8125,-2.8,-0.0125,0.0125
base_gemma,architect,0,7.7e-05,1e-06,0.9931,-2.8219,-2.8767,0.0548,0.0548
base_gemma,architect,0,0.000298,0.0,0.9999,-2.7778,-2.9074,0.1296,0.1296
base_gemma,architect,1,0.007446,0.004242,0.6371,-2.7172,-2.731,0.0138,0.0138
base_gemma,architect,0,0.964844,0.00145,0.9985,-2.6515,-2.697,0.0455,0.0455
base_gemma,accountant,0,8e-06,2e-06,0.788,-3.5571,-3.5714,0.0143,0.0143
base_gemma,accountant,1,0.0,0.000119,0.0006,-2.7143,-2.7857,0.0714,0.0714
base_gemma,accountant,1,0.0,6.7e-05,0.0,-3.0,-3.25,0.25,0.25
base_gemma,accountant,0,3.9e-05,0.0,0.9977,-2.6383,-2.7447,0.1064,0.1064
base_gemma,accountant,0,0.021851,0.007538,0.7435,-3.5641,-3.641,0.0769,0.0769
base_gemma,accountant,1,0.0,1.5e-05,0.0018,-4.1639,-4.3279,0.1639,0.1639
base_gemma,accountant,0,0.835938,0.053467,0.9399,-2.8125,-2.85,0.0375,0.0375
base_gemma,accountant,0,0.000313,0.0,1.0,-3.3714,-3.4429,0.0714,0.0714
base_gemma,accountant,1,0.008972,0.010132,0.4696,-3.0,-3.0658,0.0658,0.0658
base_gemma,accountant,0,2.7e-05,0.0,0.9997,-3.8537,-3.9187,0.065,0.065
base_gemma,attorney,0,0.000694,0.000199,0.7769,-2.0323,-2.0484,0.0161,0.0161
base_gemma,attorney,0,2e-05,0.0,1.0,-1.7676,-1.7676,0.0,0.0
base_gemma,attorney,0,0.001579,0.000515,0.7541,-2.3981,-2.466,0.068,0.068
base_gemma,attorney,1,0.0,1.9e-05,0.0004,-3.1828,-3.1613,-0.0215,0.0215
base_gemma,attorney,0,0.00103,1e-06,0.9995,-2.1667,-2.2121,0.0455,0.0455
base_gemma,attorney,1,0.0,6.9e-05,0.0008,-1.8702,-1.8473,-0.0229,0.0229
base_gemma,attorney,1,0.000107,0.984375,0.0001,-2.7581,-2.7903,0.0323,0.0323
